Thành phố Thái Nguyên,,,
Thành phố Phổ Yên,,,
Thành phố Sông Công,,,
Huyện Đại Từ,,,
Huyện Định Hóa,,,
Huyện Đồng Hỷ,,,
Huyện Phú Bình,,,
Huyện Phú Lương,,,
Huyện Võ Nhai,,,
Thành phố Bắc Kạn,,Phường Bắc Kạn,
Thành phố Bắc Kạn,,Phường Đức Xuân,
Huyện Ba Bể,,Xã Ba Bể,
Huyện Ba Bể,,Xã Chợ Rã,
Huyện Ba Bể,,Xã Phúc Lộc,
Huyện Ba Bể,,Xã Thượng Minh,
Huyện Ba Bể,,Xã Đồng Phúc,
Huyện Bạch Thông,,Xã Phủ Thông,
Huyện Bạch Thông,,Xã Cẩm Giàng,
Huyện Bạch Thông,,Xã Vĩnh Thông,
Huyện Bạch Thông,,Xã Bạch Thông,
Huyện Bạch Thông,,Xã Phong Quang,
Huyện Chợ Đồn,,Xã Nam Cường,
Huyện Chợ Đồn,,Xã Quảng Bạch,
Huyện Chợ Đồn,,Xã Yên Thịnh,
Huyện Chợ Đồn,,Xã Chợ Đồn,
Huyện Chợ Đồn,,Xã Yên Phong,
Huyện Chợ Đồn,,Xã Nghĩa Tá,
Huyện Chợ Mới,,Xã Tân Kỳ,
Huyện Chợ Mới,,Xã Thanh Mai,
Huyện Chợ Mới,,Xã Thanh Thịnh,
Huyện Chợ Mới,,Xã Chợ Mới,
Huyện Chợ Mới,,Xã Yên Bình,
Huyện Na Rì,,Xã Văn Lang,
Huyện Na Rì,,Xã Cường Lợi,
Huyện Na Rì,,Xã Na Rì,
Huyện Na Rì,,Xã Trần Phú,
Huyện Na Rì,,Xã Côn Minh,
Huyện Na Rì,,Xã Xuân Dương,
Huyện Ngân Sơn,,Xã Thượng Quan,
Huyện Ngân Sơn,,Xã Bằng Vân,
Huyện Ngân Sơn,,Xã Ngân Sơn,
Huyện Ngân Sơn,,Xã Nà Phặc,
Huyện Ngân Sơn,,Xã Hiệp Lực,
Huyện Pác Nặm,,Xã Bằng Thành,
Huyện Pác Nặm,,Xã Nghiên Loan,
Huyện Pác Nặm,,Xã Cao Tân,
