,1,01,Thành phố Hà Nội,101,10105,Quận Hoàn Kiếm,1,10105001,Phường Hoàn Kiếm,,
,2,01,Thành phố Hà Nội,101,10105,Quận Hoàn Kiếm,2,10105002,Phường Cửa Nam,,
,3,01,Thành phố Hà Nội,101,10101,Quận Ba Đình,3,10101003,Phường Ba Đình,,
,4,01,Thành phố Hà Nội,101,10101,Quận Ba Đình,4,10101004,Phường Ngọc Hà,,
,5,01,Thành phố Hà Nội,101,10101,Quận Ba Đình,5,10101005,Phường Giảng Võ,,
,6,01,Thành phố Hà Nội,101,10107,Quận Hai Bà Trưng,6,10107006,Phường Hai Bà Trưng,,
,7,01,Thành phố Hà Nội,101,10107,Quận Hai Bà Trưng,7,10107007,Phường Vĩnh Tuy,,
,8,01,Thành phố Hà Nội,101,10107,Quận Hai Bà Trưng,8,10107008,Phường Bạch Mai,,
,9,01,Thành phố Hà Nội,101,10109,Quận Đống Đa,9,10109009,Phường Đống Đa,,
,10,01,Thành phố Hà Nội,101,10109,Quận Đống Đa,10,10109010,Phường Kim Liên,,
,11,01,Thành phố Hà Nội,101,10109,Quận Đống Đa,11,10109011,Phường Văn Miếu - Quốc Tử Giám,,
,12,01,Thành phố Hà Nội,101,10109,Quận Đống Đa,12,10109012,Phường Láng,,
,13,01,Thành phố Hà Nội,101,10109,Quận Đống Đa,13,10109013,Phường Ô Chợ Dừa,,
,14,01,Thành phố Hà Nội,101,10103,Quận Tây Hồ,14,10103014,Phường Hồng Hà,,
,15,01,Thành phố Hà Nội,101,10108,Quận Hoàng Mai,15,10108015,Phường Lĩnh Nam,,
,16,01,Thành phố Hà Nội,101,10108,Quận Hoàng Mai,16,10108016,Phường Hoàng Mai,,
,17,01,Thành phố Hà Nội,101,10108,Quận Hoàng Mai,17,10108017,Phường Vĩnh Hưng,,
,18,01,Thành phố Hà Nội,101,10108,Quận Hoàng Mai,18,10108018,Phường Tương Mai,,
,19,01,Thành phố Hà Nội,101,10108,Quận Hoàng Mai,19,10108019,Phường Định Công,,
,20,01,Thành phố Hà Nội,101,10123,Huyện Thanh Trì,20,10123020,Phường Hoàng Liệt,,
,21,01,Thành phố Hà Nội,101,10108,Quận Hoàng Mai,21,10108021,Phường Yên Sở,,
,22,01,Thành phố Hà Nội,101,10111,Quận Thanh Xuân,22,10111022,Phường Thanh Xuân,,
